timestamp_gpst,truth_gpst,time_offset_s,elapsed_s,solution_lon_deg,solution_lat_deg,solution_height_m,solution_roll_deg,solution_pitch_deg,solution_yaw_deg,truth_lon_deg,truth_lat_deg,truth_height_m,truth_heading_deg,truth_pitch_deg,truth_roll_deg,solution_east_m,solution_north_m,solution_up_m,truth_east_m,truth_north_m,truth_up_m,east_error_m,north_error_m,up_error_m,horizontal_error_m,translation_error_m,roll_error_deg,pitch_error_deg,yaw_error_deg,attitude_error_deg,velocity_east_error_mps,velocity_north_error_mps,velocity_up_error_mps,velocity_horizontal_error_mps,velocity_3d_error_mps,solution_status,num_satellites,differential_age_s,std_east_m,std_north_m,std_up_m,std_roll_deg,std_pitch_deg,std_yaw_deg,std_velocity_east_mps,std_velocity_north_mps,std_velocity_up_mps
121115.274316,121115.274316,0,122.643926859,121.440201349,31.0296236129,16.4879976502,-0.628040781584,1.28487059965,-68.464057574,121.440198128,31.0296226508,16.537,68.0152705524,-0.448907066543,-178.915966014,-310.308965333,-100.813871001,-0.698002349831,-310.616517989,-100.920542152,-0.649,0.307555549538,0.106671124827,-0.0490023498312,0.325529023166,0.329196560146,178.287925233,1.73377766619,-136.479328126,224.535514506,-0.00701388091062,-0.00049922388091,0.00255771641735,0.00703162498372,0.00748235679337,fixed,33,0,0,0,0,0,0,0,0,0,0
121115.374351,121115.374351,0,122.743962049,121.440211235,31.0296268961,16.4878650149,-0.517465894007,1.38971908104,-68.4622473249,121.440208088,31.029625891,16.5414351263,68.0132312639,-0.344017233596,-178.841828978,-309.365080939,-100.449864037,-0.698134985067,-309.665547424,-100.561303948,-0.644564873695,0.300469302025,0.111439883977,-0.0535701113716,0.32046942007,0.324915998425,178.324363084,1.73373631463,-136.475478589,224.562108485,-0.0137211987343,-0.000105721634516,-0.00466078367345,0.0137216060201,0.0144915622422,float,34,0,0,0,0,0,0,0,0,0,0
121115.474386,121115.474386,0,122.84399724,121.440221079,31.0296301906,16.4899425898,-0.395292158811,1.33815793251,-68.4911377787,121.440218017,31.0296291588,16.5454386454,68.0513875307,-0.212720153406,-178.893721892,-308.425257317,-100.084597746,-0.696057410225,-308.717622202,-100.198995297,-0.640561354637,0.292367616759,0.114397523304,-0.0554960555882,0.313951615169,0.31881880254,178.498429733,1.55087808592,-136.542525309,224.739751397,-0.023931922181,0.0140917976602,-0.0159660955939,0.0277725702911,0.0320348539732,float,34,0,0,0,0,0,0,0,0,0,0
121115.57442,121115.57442,0,122.944031239,121.440230968,31.0296334589,16.4986572322,-0.403088588462,1.27419683375,-68.5336294894,121.44022795,31.0296324263,16.5534420452,68.0868959053,-0.22945080646,-178.896590833,-307.481086556,-99.7222484633,-0.68734276785,-307.769292653,-99.8367322418,-0.632557954789,0.288208779706,0.114483751153,-0.0547848130609,0.310114220857,0.314916188405,178.493502245,1.50364764021,-136.620525395,224.782915852,-0.0257364701806,0.00678628408809,0.0108621717716,0.0266161520337,0.0287472837792,float,34,0,0,0,0,0,0,0,0,0,0
121115.674455,121115.674455,0,123.044065475,121.440240955,31.0296367256,16.5076456852,-0.434008050554,1.34606757672,-68.571879746,121.440237892,31.0296356774,16.5624454689,68.1324515963,-0.271456587768,-178.875936206,-306.527583321,-99.3600643571,-0.678354314774,-306.820043706,-99.4762777535,-0.623554531097,0.292463098531,0.116213368787,-0.0547997836773,0.314706547576,0.31944205637,178.441928155,1.61752416449,-136.704331342,224.793710579,-0.0122016362382,0.000972346668681,-0.0367033175935,0.0122403180078,0.0386905532049,float,34,0,0,0,0,0,0,0,0,0,0
121115.77449,121115.77449,0,123.144100428,121.440250931,31.0296399558,16.5129499957,-0.431438712626,1.25171387779,-68.6305782119,121.440247806,31.029638928,16.5704489641,68.1932830539,-0.234350219767,-178.97280016,-305.575178064,-99.0019276514,-0.673050004303,-305.873543624,-99.1158829864,-0.615551035881,0.298368317936,0.113955308202,-0.0574989684222,0.319389206793,0.324523645957,178.541361447,1.48606409755,-136.823861266,224.944426794,-0.00414062178664,0.00472042598508,-0.00950658408139,0.00627910584881,0.0113930817234,float,34,0,0,0,0,0,0,0,0,0,0
121115.874524,121115.874524,0,123.244134665,121.44026087,31.0296431347,16.5228199409,-0.321083677047,1.17459720817,-68.7019327542,121.440257699,31.0296421559,16.5784523878,68.2776353447,-0.132861492878,-179.000097998,-304.626263776,-98.6494909715,-0.663180059068,-304.92898446,-98.758006621,-0.60754761219,0.302723471835,0.10851562413,-0.0556324468777,0.321585355824,0.326361931337,178.679014321,1.30745870105,-136.979568099,225.147288866,-0.00912564068906,0.00324323923821,-0.0235237154337,0.00968482930888,0.0254393613629,fixed,34,0,0,0,0,0,0,0,0,0,0
121115.974559,121115.974559,0,123.344169855,121.440270694,31.0296463469,16.5314931059,-0.180630217536,1.27343917842,-68.8107517893,121.440267591,31.0296453367,16.5869118137,68.3927990561,-0.00159184795496,-178.926510872,-303.688366989,-98.293349323,-0.654506894074,-303.984544643,-98.4053471001,-0.599088186264,0.296180373018,0.111997751139,-0.0554187078106,0.316648558533,0.321461572815,178.745880654,1.27503102638,-137.203550845,225.336481555,-0.00957760899992,-0.00148384552184,-0.0622184275867,0.00969187245521,0.0629687630738,fixed,34,0,0,0,0,0,0,0,0,0,0
121116.074594,121116.074594,0,123.444204807,121.440280544,31.0296495684,16.5454511568,-0.157004280272,1.21604043983,-68.9375010046,121.440277475,31.0296485209,16.5984594021,68.5260441887,0.0202762108116,-179.03650959,-302.747869731,-97.936181196,-0.640548843205,-303.040904788,-98.0523184421,-0.587540597916,0.293037737655,0.116137219458,-0.0530082452889,0.315212578165,0.31963861391,178.879505309,1.19576422902,-137.463545193,225.600384594,-0.0163205471587,0.0131528012503,0.0226249989332,0.0209608310973,0.030842292668,fixed,34,0,0,0,0,0,0,0,0,0,0
121116.174628,121116.174628,0,123.544239044,121.440290504,31.029652718,16.5630567437,-0.167402255339,1.15905872142,-69.094846137,121.440287365,31.0296516847,16.6104628258,68.6760009952,0.00556633335986,-179.047154855,-301.797003333,-97.5869866367,-0.622943256296,-302.096701285,-97.701540508,-0.575537174224,0.2997006841,0.114553845282,-0.0474060820718,0.320847445867,0.324330726476,178.8797526,1.15349238806,-137.770847132,225.787738273,-0.0190032480595,0.0225121376348,0.00419104351651,0.0294604782327,0.0297570936661,float,34,0,0,0,0,0,0,0,0,0,0
121116.274663,121116.274663,0,123.644273996,121.440300419,31.0296558228,16.571474269,-0.227758842819,1.24501201692,-69.2174978796,121.440297271,31.0296547955,16.622466321,68.805520518,-0.0676283116647,-179.000569084,-300.850385127,-97.2427552723,-0.614525730968,-301.150931295,-97.3566482738,-0.563533679009,0.300548898776,0.113892975904,-0.0509920519589,0.321405118994,0.325425014218,178.772810241,1.31264032858,-138.023018398,225.857907352,-0.0104179699345,0.0234464173633,-0.000760814320121,0.025656745404,0.025668023359,float,34,0,0,0,0,0,0,0,0,0,0
121116.374698,121116.374698,0,123.744309187,121.440310334,31.0296589111,16.5785372797,-0.346153454416,1.26563259019,-69.3691107175,121.440307179,31.0296578847,16.63246984,68.9472290627,-0.184698532072,-178.920248183,-299.90377838,-96.9003511264,-0.60746272026,-300.204982765,-97.0141518858,-0.55353015995,0.30120711248,0.113800734049,-0.0539325603098,0.321988092448,0.326473663164,178.574094728,1.45033112226,-138.31633978,225.880987732,-0.00412288820475,0.00857393949288,-0.0216231713663,0.00951370829785,0.0236235515008,float,34,0,0,0,0,0,0,0,0,0,0
121116.474733,121116.474733,0,123.844343424,121.44032022,31.0296619519,16.5820999965,-0.460200652365,1.31091526301,-69.4987929655,121.440317068,31.0296609527,16.6414732637,69.0686678456,-0.30334574801,-178.894207919,-298.959894488,-96.5632186665,-0.603900003493,-299.260793862,-96.6739941193,-0.544526736259,0.300902089295,0.110775428333,-0.0593732672335,0.320645073039,0.326095764656,178.434007267,1.61426101102,-138.567460811,225.925301778,-0.00546789151826,0.00910470883087,-0.0155498350108,0.0106204312789,0.0188305849461,float,34,0,0,0,0,0,0,0,0,0,0
